    x     y      z
   1.00000000       1.00000000       1.00000000    
   1.00000000       1.50000000       1.50000000    
   1.00000000       2.00000000       2.00000000    
   1.00000000       2.50000000       2.50000000    
   1.00000000       3.00000000       3.00000000    
   1.00000000       3.50000000       3.50000000    
   1.00000000       4.00000000       4.00000000    
   1.00000000       4.50000000       4.50000000    
   1.00000000       5.00000000       5.00000000    
   1.00000000       5.50000000       5.50000000    
   1.00000000       6.00000000       6.00000000    
   2.00000000       1.00000000       2.00000000    
   2.00000000       1.50000000       3.00000000    
   2.00000000       2.00000000       4.00000000    
   2.00000000       2.50000000       5.00000000    
   2.00000000       3.00000000       6.00000000    
   2.00000000       3.50000000       7.00000000    
   2.00000000       4.00000000       8.00000000    
   2.00000000       4.50000000       9.00000000    
   2.00000000       5.00000000       10.0000000    
   2.00000000       5.50000000       11.0000000    
   2.00000000       6.00000000       12.0000000    
   3.00000000       1.00000000       3.00000000    
   3.00000000       1.50000000       4.50000000    
   3.00000000       2.00000000       6.00000000    
   3.00000000       2.50000000       7.50000000    
   3.00000000       3.00000000       9.00000000    
   3.00000000       3.50000000       10.5000000    
   3.00000000       4.00000000       12.0000000    
   3.00000000       4.50000000       13.5000000    
   3.00000000       5.00000000       15.0000000    
   3.00000000       5.50000000       16.5000000    
   3.00000000       6.00000000       18.0000000    
   4.00000000       1.00000000       4.00000000    
   4.00000000       1.50000000       6.00000000    
   4.00000000       2.00000000       8.00000000    
   4.00000000       2.50000000       10.0000000    
   4.00000000       3.00000000       12.0000000    
   4.00000000       3.50000000       14.0000000    
   4.00000000       4.00000000       16.0000000    
   4.00000000       4.50000000       18.0000000    
   4.00000000       5.00000000       20.0000000    
   4.00000000       5.50000000       22.0000000    
   4.00000000       6.00000000       24.0000000    
